nowec_run_id,bc_name,wec_run_id,bad_run
1,Hs1.23Tp14Dir248,1,
2,Hs1.37Tp15Dir224,2,
3,Hs1.49Tp07Dir304,3,
4,Hs1.54Tp08Dir278,4,
5,Hs1.70Tp07Dir244,5,
6,Hs1.76Tp06Dir221,6,
7,Hs1.81Tp09Dir298,7,
8,Hs1.85Tp13Dir277,8,
9,Hs2.05Tp16Dir276,9,X
10,Hs2.08Tp16Dir295,10,
11,Hs2.11Tp11Dir223,11,
12,Hs2.16Tp10Dir277,12,
13,Hs2.16Tp13Dir295,13,
14,Hs2.31Tp17Dir249,14,
15,Hs2.66Tp11Dir297,15,
16,Hs2.67Tp08Dir220,16,
17,Hs2.69Tp09Dir247,17,
18,Hs2.94Tp11Dir250,18,
19,Hs3.66Tp12Dir277,19,X
20,Hs4.06Tp10Dir221,20,
21,Hs4.65Tp13Dir296,21,
22,Hs4.90Tp14Dir275,22,X
23,Hs4.91Tp13Dir251,23,
24,Hs7.05Tp12Dir223,24,X
